"
Nitecore Chameleon CU6 Ultraviolet LED Flashlight - CREE XP-G2 R5 & CREE XP-E R2 - 440 Lumens - Uses 2 x CR123As or 1 x 18650
","
$109.95
                ",nitecore-cu6-xpg2-smo.html,2018-01-22 11:24:55.116583
"
Nitecore Chameleon CB6 Blue LED Flashlight Night Hunting Kit with GM02 Weapon Mount, RSW1 Remote Switch, 18650 Battery and Charger -  Fits Picatinny Railed Guns - 440 Lumens
","
$139.00
                ",nitecore-cb6-hunting-kit.html,2018-01-22 11:24:55.123588
"
Nitecore Chameleon CG6 Night Hunting Kit - CG6 LED Flashlight - 440 Lumens - with Pressure Switch, Battery Charger, Car Adapter and 18650
","
$129.00
                ",nitecore-cg6-hunting-kit.html,2018-01-22 11:24:55.130591
"
Nitecore Chameleon CR6 Red LED Flashlight Night Hunting Kit with GM02 Weapon Mount, RSW1 Remote Switch, 18650 Battery and Charger -  Fits Picatinny Railed Guns - 440 Lumens
","
$129.00
                ",nitecore-cr6-hunting-kit.html,2018-01-22 11:24:55.139599
"
Nitecore Chameleon CU6 UV Ultraviolet LED Flashlight Night Hunting Kit with GM02 Weapon Mount, RSW1 Remote Switch, 18650 Battery and Charger -  Fits Picatinny Railed Guns - 440 Lumens
","
$189.00
                ",nitecore-cu6-hunting-kit.html,2018-01-22 11:24:55.146603
"
Smith and Wesson Galaxy Pro Flashlight with CREE XPG2-R5 LED - 330 Lumens - Uses 4 x AA (SW4AACR)
","
$33.85
                ",smith-wesson-sw4aacr.html,2018-01-22 11:24:55.155610
"
JETBeam RRT26 Rapid Response Tactical Flashlight with Red, Green and Blue LEDs - CREE XP-L LED - 1080 Lumens - Uses 2 x CR123As or 1 x 18650
","
$107.95
                ",jetbeam-rrt26-xpl.html,2018-01-22 11:24:55.161612
"
Ledlenser T2QC Quad-Color LED Flashlight - 140 Lumens - Uses 3 x AAA Batteries
","
$30.00
                ",led-lenser-880291.html,2018-01-22 11:24:55.168618
"
Nitecore Multitask Hybrid MH27 USB Rechargeable Tactical Flashlight - CREE XP-L HI V3 LED - 1000 Lumens - Uses 1 x 18650 or 2 x CR123As
","
$89.95
                ",nitecore-mh27.html,2018-01-22 11:24:55.175623
"
Fenix TK76 Tactical Flashlight - 3 x CREE XM-L2 U2 LEDs - 2800 Lumens - Uses 4 x 18650s or 8 x CR123As
","
$239.96
                ",fenix-tk76-xml2.html,2018-01-22 11:24:55.181625
"
Fenix TK41C High Output Tri-Color Tactical Flashlight - CREE XM-L2 U2 / Philips Luxeon Z LEDs - 1000 Lumens - Uses 8 x AAs
","
$99.95
                ",fenix-tk41c.html,2018-01-22 11:24:55.188631
"
Fenix TK25 IR LED Flashlight - CREE XP-G2 S3 - 850nm IR - 1000 lumens - Uses 1x 18650 or 2x CR123A
","
$99.95
                ",fenix-tk25-ir-infrared-led-flashlight.html,2018-01-22 11:24:55.194634
"
Fenix TK32 (2016) Tactical Flashlight - CREE XP-L HI V3 LED - 1000 Lumens - Uses 1 x 18650 or 2 x CR123As
","
$94.95
                ",fenix-tk32-2016.html,2018-01-22 11:24:55.203640
"
Nitecore Multitask Hybrid MH25GT Flashlight Hunting Kit with Gun Mount, RSW1 Pressure Switch, Filters and Holster - CREE XP-L HI V3 LED - 1000 Lumens - Uses 1 x 18650 (Included) or 2 x CR123A
","
$120.00
                ",nitecore-mh25gt-hunting-kit.html,2018-01-22 11:24:55.212647
"
Nitecore MH27 1000 Lumen LED Flashlight Night Hunting Kit with GM02 Weapon Mount, RSW1 Pressure Switch, NFR40 Red Filter, NFG40 Green Filter - Fits Picatinny Railed Guns
","
$129.00
                ",nitecore-mh27-hunting-kit.html,2018-01-22 11:24:55.220653
